snapshot,snap_int,time_Myr,JacobiR,Mstar_bound,frac_bound
000,0,0.0,81.83095242172932,9300000000.000002,1.0
001,1,14.2857,81.08277924344748,9300000000.000002,1.0
002,2,28.57142,80.36070549978623,9300000000.000002,1.0
003,3,42.85712,79.60536982235224,9300000000.000002,1.0
004,4,57.14285,78.86373692304066,9300000000.000002,1.0
005,5,71.42857,78.08148029059896,9300000000.000002,1.0
006,6,85.71427,77.32182320212186,9300000000.000002,1.0
007,7,99.99999,76.56426153256304,9300000000.000002,1.0
008,8,114.28571,75.83535749745563,9300000000.000002,1.0
009,9,128.57141,75.08489459086776,9300000000.000002,1.0
010,10,142.85713,74.33033882708828,9300000000.000002,1.0
011,11,157.14286,73.5884001963141,9300000000.000002,1.0
012,12,171.42856,72.83966745319687,9300000000.000002,1.0
013,13,185.71428,72.06375383841647,9300000000.000002,1.0
014,14,199.99998,71.28627446130055,9300000000.000002,1.0
015,15,214.2857,70.50510700241894,9300000000.000002,1.0
016,16,228.57142,69.69952461291862,9300000000.000002,1.0
017,17,242.85712,68.89118741784927,9300000000.000002,1.0
018,18,257.14285,68.05352843201528,9300000000.000002,1.0
019,19,271.42857,67.2766851545975,9300000000.000002,1.0
020,20,285.71427,66.46124032300155,9300000000.000002,1.0
021,21,299.99999,65.66383331856275,9300000000.000002,1.0
022,22,314.28571,64.84056332017911,9300000000.000002,1.0
023,23,328.57141,64.03257530087505,9300000000.000002,1.0
024,24,342.85714,63.21875389316123,9300000000.000002,1.0
025,25,357.14286,62.411659711865205,9300000000.000002,1.0
026,26,371.42856,61.55163978740093,9300000000.000002,1.0
027,27,385.71428,60.63062012952171,9300000000.000002,1.0
028,28,399.99998,59.80155259008745,9300000000.000002,1.0
029,29,414.2857,58.936943797578905,9300000000.000002,1.0
030,30,428.57142,58.089231478251335,9300000000.000002,1.0
031,31,442.85712,57.2620893099931,9300000000.000002,1.0
032,32,457.14285,56.424494244014795,9300000000.000002,1.0
033,33,471.42857,55.61814202472256,9300000000.000002,1.0
034,34,485.71427,54.794830722946735,9300000000.000002,1.0
035,35,499.99999,54.00684770456004,9300000000.000002,1.0
036,36,514.28571,53.22250172388763,9300000000.000002,1.0
037,37,528.57141,52.45836756929773,9300000000.000002,1.0
038,38,542.85714,51.658179639343736,9300000000.000002,1.0
039,39,557.14284,50.888936429831375,9300000000.000002,1.0
040,40,571.42856,50.12555758676129,9300000000.000002,1.0
041,41,585.71428,49.35636539258586,9300000000.000002,1.0
042,42,599.99998,48.58250335262696,9300000000.000002,1.0
043,43,614.2857,47.83986141509402,9300000000.000002,1.0
044,44,628.57143,47.104679591826226,9300000000.000002,1.0
045,45,642.85713,46.42937493475338,9300000000.000002,1.0
046,46,657.14285,45.72240593437923,9300000000.000002,1.0
047,47,671.42857,45.027101804265826,9300000000.000002,1.0
048,48,685.71427,44.34736325149777,9300000000.000002,1.0
049,49,699.99999,43.68898143067931,9300000000.000002,1.0
050,50,714.28571,43.04524134521697,9300000000.000002,1.0
051,51,728.57141,42.44935237285228,9300000000.000002,1.0
052,52,742.85714,41.883659677532506,9300000000.000002,1.0
053,53,757.14284,41.3022242004378,9300000000.000002,1.0
054,54,771.42856,40.808488971013155,9300000000.000002,1.0
055,55,785.71428,40.364128381133284,9300000000.000002,1.0
056,56,799.99998,39.91498740238706,9300000000.000002,1.0
057,57,814.2857,39.55078821002208,9300000000.000002,1.0
058,58,828.57143,39.25472855767126,9300000000.000002,1.0
059,59,842.85713,38.97871965329365,9300000000.000002,1.0
060,60,857.14285,38.73436894478236,9300000000.000002,1.0
061,61,871.42857,38.528156427468105,9300000000.000002,1.0
062,62,885.71427,38.39927165555861,9300000000.000002,1.0
063,63,899.99999,38.30019590226335,9300000000.000002,1.0
064,64,914.28569,38.25968217033599,9300000000.000002,1.0
065,65,928.57142,38.266526034975,9300000000.000002,1.0
066,66,942.85714,38.31567662073963,9300000000.000002,1.0
067,67,957.14284,38.43745264064869,9300000000.000002,1.0
068,68,971.42856,38.644252003123775,9300000000.000002,1.0
069,69,985.71428,38.91906382419074,9300000000.000002,1.0
070,70,999.99998,39.21607618977516,9300000000.000002,1.0
071,71,1014.2857,39.5814517068221,9300000000.000002,1.0
072,72,1028.57143,40.004518223017975,9300000000.000002,1.0
073,73,1042.85713,40.49047254396411,9300000000.000002,1.0
074,74,1057.14285,40.97821830353975,9300000000.000002,1.0
075,75,1071.42857,41.49805197195906,9300000000.000002,1.0
076,76,1085.71427,42.02168134574809,9300000000.000002,1.0
077,77,1099.99999,42.586982264194056,9300000000.000002,1.0
078,78,1114.28569,43.18915955416091,9300000000.000002,1.0
079,79,1128.57142,43.80286616705632,9300000000.000002,1.0
080,80,1142.85714,44.460009580419495,9300000000.000002,1.0
081,81,1157.14284,45.1155917500994,9300000000.000002,1.0
082,82,1171.42856,45.807362234518294,9300000000.000002,1.0
083,83,1185.71428,46.45355512953552,9300000000.000002,1.0
084,84,1199.99998,47.07326046253572,9300000000.000002,1.0
085,85,1214.28571,47.7188493060543,9300000000.000002,1.0
086,86,1228.57143,48.36713654755474,9300000000.000002,1.0
087,87,1242.85713,49.002094643982005,9300000000.000002,1.0
088,88,1257.14285,49.645249851530224,9300000000.000002,1.0
089,89,1271.42855,50.294061501039565,9300000000.000002,1.0
090,90,1285.71427,50.98193504382932,9300000000.000002,1.0
091,91,1299.99999,51.70243400034296,9300000000.000002,1.0
092,92,1314.2857,52.38204166502848,9300000000.000002,1.0
093,93,1328.57142,53.05614539166077,9300000000.000002,1.0
094,94,1342.85714,53.76806174942632,9300000000.000002,1.0
095,95,1357.14284,54.47012607105767,9300000000.000002,1.0
096,96,1371.42856,55.198941449296406,9300000000.000002,1.0
097,97,1385.71428,55.92954222325282,9300000000.000002,1.0
098,98,1399.99998,56.648042189444354,9300000000.000002,1.0
099,99,1414.28571,57.363722221937486,9300000000.000002,1.0
100,100,1428.57143,58.03593594152033,9300000000.000002,1.0
101,101,1442.85713,58.679445537460246,9300000000.000002,1.0
102,102,1457.14285,59.344466179020905,9300000000.000002,1.0
103,103,1471.42855,59.97935412581742,9300000000.000002,1.0
104,104,1485.71427,60.614719996988256,9300000000.000002,1.0
105,105,1500.0,61.26546515851779,9300000000.000002,1.0
106,106,1514.2857,61.8892156369592,9300000000.000002,1.0
107,107,1528.57142,62.51107510950314,9300000000.000002,1.0
108,108,1542.85714,63.1542382678886,9300000000.000002,1.0
109,109,1557.14284,63.75552242190021,9300000000.000002,1.0
110,110,1571.42856,64.36358397113266,9300000000.000002,1.0
111,111,1585.71428,64.97573228612819,9300000000.000002,1.0
112,112,1599.99999,65.59762201205962,9300000000.000002,1.0
113,113,1614.28571,66.20835630009341,9300000000.000002,1.0
114,114,1628.57141,66.78874106666461,9300000000.000002,1.0
115,115,1642.85713,67.36664858853695,9300000000.000002,1.0
116,116,1657.14285,67.96700519641618,9300000000.000002,1.0
117,117,1671.42855,68.54482283757918,9300000000.000002,1.0
118,118,1685.71427,69.10971908837654,9300000000.000002,1.0
119,119,1700.0,69.60763291602137,9300000000.000002,1.0
120,120,1714.2857,70.10553452716046,9300000000.000002,1.0
121,121,1728.57142,70.60409597183344,9300000000.000002,1.0
122,122,1742.85714,71.09833970167942,9300000000.000002,1.0
123,123,1757.14284,71.56739091180724,9300000000.000002,1.0
124,124,1771.42856,72.02014866532545,9300000000.000002,1.0
125,125,1785.71429,72.49871491882747,9300000000.000002,1.0
126,126,1799.99999,72.96969882955896,9300000000.000002,1.0
127,127,1814.28571,73.40293920739985,9300000000.000002,1.0
128,128,1828.57141,73.83964109363686,9300000000.000002,1.0
129,129,1842.85713,74.22249788161842,9300000000.000002,1.0
130,130,1857.14285,74.64987012355563,9300000000.000002,1.0
131,131,1871.42855,75.03392745703933,9300000000.000002,1.0
132,132,1885.71428,75.39269731540269,9300000000.000002,1.0
133,133,1900.0,75.78246524488618,9300000000.000002,1.0
134,134,1914.2857,76.1537969416155,9300000000.000002,1.0
135,135,1928.57142,76.56127348524602,9300000000.000002,1.0
136,136,1942.85714,76.89878278783698,9300000000.000002,1.0
137,137,1957.14284,77.23063481822939,9300000000.000002,1.0
138,138,1971.42856,77.56859630580988,9300000000.000002,1.0
139,139,1985.71427,77.90000748442603,9300000000.000002,1.0
140,140,1999.99999,78.24554985399047,9300000000.000002,1.0
141,141,2014.28571,78.56016379960273,9300000000.000002,1.0
142,142,2028.57141,78.92269058300259,9300000000.000002,1.0
143,143,2042.85713,79.19779915573542,9300000000.000002,1.0
144,144,2057.14285,79.47963667153823,9300000000.000002,1.0
145,145,2071.42855,79.75979841032418,9300000000.000002,1.0
146,146,2085.71428,80.05993902406199,9300000000.000002,1.0
147,147,2100.0,80.26494011647831,9300000000.000002,1.0
148,148,2114.2857,80.54518877405636,9300000000.000002,1.0
149,149,2128.57142,80.78424292209577,9300000000.000002,1.0
150,150,2142.85714,81.03161963899151,9300000000.000002,1.0
151,151,2157.14284,81.25022191265,9300000000.000002,1.0
152,152,2171.42857,81.47993213598188,9300000000.000002,1.0
153,153,2185.71427,81.69457864449276,9300000000.000002,1.0
154,154,2199.99999,81.89347622021158,9300000000.000002,1.0
155,155,2214.28571,82.10131710234359,9300000000.000002,1.0
156,156,2228.57141,82.2891341918465,9300000000.000002,1.0
157,157,2242.85713,82.49803557868474,9300000000.000002,1.0
158,158,2257.14285,82.64271188637905,9300000000.000002,1.0
159,159,2271.42856,82.78555637445582,9300000000.000002,1.0
160,160,2285.71428,82.96007068114052,9300000000.000002,1.0
161,161,2300.0,83.08753492990425,9300000000.000002,1.0
162,162,2314.2857,83.22727807290896,9300000000.000002,1.0
163,163,2328.57142,83.3525351096779,9300000000.000002,1.0
164,164,2342.85712,83.4980367393998,9300000000.000002,1.0
165,165,2357.14284,83.63617512507962,9300000000.000002,1.0
166,166,2371.42857,83.77218014012244,9300000000.000002,1.0
167,167,2385.71427,83.89419381483957,9300000000.000002,1.0
168,168,2399.99999,83.99548650998759,9300000000.000002,1.0
169,169,2414.28571,84.0622896987337,9300000000.000002,1.0
170,170,2428.57141,84.16164406075991,9300000000.000002,1.0
171,171,2442.85713,84.23575472487069,9300000000.000002,1.0
172,172,2457.14286,84.34934523687093,9300000000.000002,1.0
173,173,2471.42856,84.4103456391353,9300000000.000002,1.0
174,174,2485.71428,84.45657268971175,9300000000.000002,1.0
175,175,2500.0,84.53252864185839,9300000000.000002,1.0
176,176,2514.2857,84.59547949253958,9300000000.000002,1.0
177,177,2528.57142,84.6345227430996,9300000000.000002,1.0
178,178,2542.85712,84.59928568367516,9300000000.000002,1.0
179,179,2557.14285,84.58052296870092,9300000000.000002,1.0
180,180,2571.42857,84.6058887667776,9300000000.000002,1.0
181,181,2585.71427,84.58652458070169,9300000000.000002,1.0
182,182,2599.99999,84.53316135506051,9300000000.000002,1.0
183,183,2614.28571,84.47492657160169,9300000000.000002,1.0
184,184,2628.57141,84.44466129145502,9300000000.000002,1.0
185,185,2642.85713,84.42483506348765,9300000000.000002,1.0
186,186,2657.14286,84.40628645550666,9300000000.000002,1.0
187,187,2671.42856,84.30831917032911,9300000000.000002,1.0
188,188,2685.71428,84.18047866468731,9300000000.000002,1.0
189,189,2699.99998,84.12206500538963,9300000000.000002,1.0
190,190,2714.2857,84.01356575132574,9300000000.000002,1.0
191,191,2728.57142,83.91936270517107,9300000000.000002,1.0
192,192,2742.85712,83.85673562626596,9300000000.000002,1.0
193,193,2757.14285,83.77376115906414,9300000000.000002,1.0
194,194,2771.42857,83.66808723455078,9300000000.000002,1.0
195,195,2785.71427,83.55133872603962,9300000000.000002,1.0
196,196,2799.99999,83.42072081391902,9300000000.000002,1.0
197,197,2814.28571,83.31272975482146,9300000000.000002,1.0
198,198,2828.57141,83.17960690320734,9300000000.000002,1.0
199,199,2842.85714,83.08691212504787,9300000000.000002,1.0
200,200,2857.14286,82.9213862135707,9300000000.000002,1.0
201,201,2871.42856,82.70481477785931,9300000000.000002,1.0
202,202,2885.71428,82.51822139996585,9300000000.000002,1.0
203,203,2899.99998,82.29412080413206,9300000000.000002,1.0
204,204,2914.2857,82.11041986597543,9300000000.000002,1.0
205,205,2928.57142,81.95983511348695,9300000000.000002,1.0
206,206,2942.85712,81.76013941759145,9300000000.000002,1.0
207,207,2957.14285,81.55733850047227,9300000000.000002,1.0
208,208,2971.42857,81.38351503270493,9300000000.000002,1.0
209,209,2985.71427,81.17931258237607,9300000000.000002,1.0
210,210,2999.99999,80.92303331537971,9300000000.000002,1.0
211,211,3014.28571,80.71497867499416,9300000000.000002,1.0
212,212,3028.57141,80.46836038270094,9300000000.000002,1.0
213,213,3042.85714,80.22172046682313,9300000000.000002,1.0
214,214,3057.14284,80.00475877937411,9300000000.000002,1.0
215,215,3071.42856,79.76020171540699,9300000000.000002,1.0
216,216,3085.71428,79.44640278715337,9300000000.000002,1.0
217,217,3099.99998,79.18027832965296,9300000000.000002,1.0
218,218,3114.2857,78.89926947780765,9300000000.000002,1.0
219,219,3128.57143,78.6081166158962,9300000000.000002,1.0
220,220,3142.85713,78.34266510579546,9300000000.000002,1.0
221,221,3157.14285,78.09415390506467,9300000000.000002,1.0
222,222,3171.42857,77.72219024890528,9300000000.000002,1.0
223,223,3185.71427,77.37086675670702,9300000000.000002,1.0
224,224,3199.99999,76.97240024053843,9300000000.000002,1.0
225,225,3214.28569,76.61153788301176,9300000000.000002,1.0
226,226,3228.57141,76.26226560920144,9300000000.000002,1.0
227,227,3242.85714,75.89580355517423,9300000000.000002,1.0
228,228,3257.14284,75.53189393981236,9300000000.000002,1.0
229,229,3271.42856,75.1691874303346,9300000000.000002,1.0
230,230,3285.71428,74.72160910478318,9300000000.000002,1.0
231,231,3299.99998,74.32278612191925,9300000000.000002,1.0
232,232,3314.2857,73.93209349299855,9300000000.000002,1.0
233,233,3328.57143,73.4519651318743,9300000000.000002,1.0
234,234,3342.85713,73.00947224279872,9300000000.000002,1.0
235,235,3357.14285,72.59198523909626,9300000000.000002,1.0
236,236,3371.42857,72.13534320005458,9300000000.000002,1.0
237,237,3385.71427,71.61011937986278,9300000000.000002,1.0
238,238,3399.99999,71.11423996047426,9300000000.000002,1.0
239,239,3414.28569,70.5940240257091,9300000000.000002,1.0
240,240,3428.57142,70.0220247519939,9300000000.000002,1.0
241,241,3442.85714,69.46874378213155,9300000000.000002,1.0
242,242,3457.14284,68.87986730247329,9300000000.000002,1.0
243,243,3471.42856,68.30529371615451,9300000000.000002,1.0
244,244,3485.71428,67.6819857038828,9300000000.000002,1.0
245,245,3499.99998,67.11924656966046,9300000000.000002,1.0
246,246,3514.2857,66.50854866309642,9300000000.000002,1.0
247,247,3528.57143,65.94594780879017,9300000000.000002,1.0
248,248,3542.85713,65.3172962868832,9300000000.000002,1.0
249,249,3557.14285,64.66700267292606,9300000000.000002,1.0
250,250,3571.42855,63.996520129476735,9300000000.000002,1.0
251,251,3585.71427,63.363296628636654,9300000000.000002,1.0
252,252,3599.99999,62.70765437314992,9300000000.000002,1.0
253,253,3614.28569,62.011978414846716,9300000000.000002,1.0
254,254,3628.57142,61.3331933940454,9300000000.000002,1.0
255,255,3642.85714,60.613995097646225,9300000000.000002,1.0
256,256,3657.14284,59.85112311801112,9300000000.000002,1.0
257,257,3671.42856,59.095959345766765,9300000000.000002,1.0
258,258,3685.71428,58.35528711616926,9300000000.000002,1.0
259,259,3699.99998,57.56408634219689,9300000000.000002,1.0
260,260,3714.28571,56.75746172115076,9300000000.000002,1.0
261,261,3728.57143,55.89844420965738,9300000000.000002,1.0
262,262,3742.85713,55.057572461949945,9300000000.000002,1.0
263,263,3757.14285,54.15048365511315,9300000000.000002,1.0
264,264,3771.42855,53.27199422572512,9300000000.000002,1.0
265,265,3785.71427,52.312793812685356,9300000000.000002,1.0
266,266,3799.99999,51.31276065403846,9300000000.000002,1.0
267,267,3814.2857,50.30776104555151,9300000000.000002,1.0
268,268,3828.57142,49.26473689668034,9300000000.000002,1.0
269,269,3842.85714,48.17972837810854,9300000000.000002,1.0
270,270,3857.14284,47.11591792500117,9300000000.000002,1.0
271,271,3871.42856,45.964728631101,9300000000.000002,1.0
272,272,3885.71428,44.829662477734864,9300000000.000002,1.0
273,273,3899.99998,43.652001248214084,9300000000.000002,1.0
274,274,3914.28571,42.44574352371779,9300000000.000002,1.0
275,275,3928.57141,41.21043247126506,9300000000.000002,1.0
276,276,3942.85713,39.983351246129224,9300000000.000002,1.0
277,277,3957.14285,38.70903091496611,9300000000.000002,1.0
278,278,3971.42855,37.44523306282801,9300000000.000002,1.0
279,279,3985.71427,36.252688459725825,9300000000.000002,1.0
280,280,4000.0,35.104636214988574,9300000000.000002,1.0
281,281,4014.2857,33.98792994024759,9300000000.000002,1.0
282,282,4028.57142,32.93693718619209,9300000000.000002,1.0
283,283,4042.85714,31.892761881673657,9300000000.000002,1.0
284,284,4057.14284,30.933989198248305,9300000000.000002,1.0
285,285,4071.42856,30.01579898402323,9300000000.000002,1.0
286,286,4085.71428,29.156986310557265,9300000000.000002,1.0
287,287,4099.99999,28.33475499459879,9300000000.000002,1.0
288,288,4114.28571,27.63975025835674,9300000000.000002,1.0
289,289,4128.57141,27.00630021166748,9298000000.000004,0.9997849462365593
290,290,4142.85713,26.407389340557092,9297000000.000004,0.9996774193548389
291,291,4157.14285,25.926028387513853,9296000000.000004,0.9995698924731184
292,292,4171.42855,25.53588076714149,9296000000.000004,0.9995698924731184
293,293,4185.71427,25.21916375733941,9295000000.000004,0.999462365591398
294,294,4200.0,24.97887789589085,9295000000.000004,0.999462365591398
295,295,4214.2857,24.797288779422885,9294000000.000002,0.9993548387096775
296,296,4228.57142,24.704950879080112,9294000000.000002,0.9993548387096775
297,297,4242.85714,24.6958937251926,9293000000.000002,0.999247311827957
298,298,4257.14284,24.7618500308545,9293000000.000002,0.999247311827957
299,299,4271.42856,24.88390590238592,9292000000.000002,0.9991397849462366
300,300,4285.71426,25.06323714023636,9292000000.000002,0.9991397849462366
301,301,4299.99999,25.29548993983454,9290000000.000002,0.9989247311827957
302,302,4314.28571,25.611330092741284,9289000000.000002,0.9988172043010752
303,303,4328.57141,25.984125239549783,9287000000.000004,0.9986021505376346
304,304,4342.85713,26.37747971109953,9286000000.000004,0.9984946236559142
305,305,4357.14285,26.823992750870282,9286000000.000004,0.9984946236559142
306,306,4371.42855,27.29872007735732,9285000000.000004,0.9983870967741938
307,307,4385.71428,27.780861205408716,9284000000.000004,0.9982795698924734
308,308,4400.0,28.281128794775512,9284000000.000004,0.9982795698924734
309,309,4414.2857,28.797047107267005,9281000000.000002,0.9979569892473118
310,310,4428.57142,29.368216370116528,9275000000.000004,0.9973118279569895
311,311,4442.85714,29.86577445529122,9275000000.000004,0.9973118279569895
312,312,4457.14284,30.419250670132204,9273000000.000002,0.9970967741935484
313,313,4471.42856,30.97906371735209,9271000000.000002,0.9968817204301075
314,314,4485.71427,31.52066182788535,9270000000.000002,0.9967741935483871
315,315,4499.99999,32.112037413588986,9269000000.000002,0.9966666666666667
316,316,4514.28571,32.720273725980455,9269000000.000002,0.9966666666666667
317,317,4528.57141,33.335383031044664,9267000000.000004,0.996451612903226
318,318,4542.85713,33.901879213077684,9266000000.000004,0.9963440860215056
319,319,4557.14285,34.45074947938023,9263000000.000004,0.9960215053763443
320,320,4571.42855,35.008233940958235,9261000000.000002,0.9958064516129033
321,321,4585.71428,35.581238355670926,9258000000.000004,0.9954838709677422
322,322,4600.0,36.154726933190744,9257000000.000004,0.9953763440860217
323,323,4614.2857,36.7225556008785,9255000000.000004,0.9951612903225808
324,324,4628.57142,37.26256007303195,9255000000.000004,0.9951612903225808
325,325,4642.85712,37.82715534192055,9255000000.000004,0.9951612903225808
326,326,4657.14284,38.38728247310933,9253000000.000002,0.9949462365591398
327,327,4671.42857,38.93066263124595,9253000000.000002,0.9949462365591398
328,328,4685.71427,39.483243842791154,9251000000.000002,0.9947311827956989
329,329,4699.99999,40.04330859603275,9251000000.000002,0.9947311827956989
330,330,4714.28571,40.5868488869313,9251000000.000002,0.9947311827956989
331,331,4728.57141,41.07258056049627,9249000000.000002,0.9945161290322581
332,332,4742.85713,41.60618350451667,9249000000.000002,0.9945161290322581
333,333,4757.14285,42.12656511158029,9248000000.000004,0.9944086021505378
334,334,4771.42856,42.89338965111983,9247000000.000004,0.9943010752688174
335,335,4785.71428,43.42156797515428,9247000000.000004,0.9943010752688174
336,336,4800.0,43.96905270996191,9247000000.000004,0.9943010752688174
337,337,4814.2857,44.21643324831682,9247000000.000004,0.9943010752688174
338,338,4828.57142,44.73739963232225,9246000000.000004,0.994193548387097
339,339,4842.85712,45.24149185657682,9246000000.000004,0.994193548387097
340,340,4857.14284,45.71009129568708,9246000000.000004,0.994193548387097
341,341,4871.42857,46.233743848140286,9246000000.000004,0.994193548387097
342,342,4885.71427,46.755913233067275,9246000000.000004,0.994193548387097
343,343,4899.99999,47.254867079236725,9245000000.000004,0.9940860215053765
344,344,4914.28571,47.7101042547715,9245000000.000004,0.9940860215053765
345,345,4928.57141,48.201157034440016,9245000000.000004,0.9940860215053765
346,346,4942.85713,48.7233384407287,9245000000.000004,0.9940860215053765
347,347,4957.14286,49.261288578663645,9245000000.000004,0.9940860215053765
348,348,4971.42856,49.76831612582226,9243000000.000004,0.9938709677419357
349,349,4985.71428,50.24615490288972,9243000000.000004,0.9938709677419357
350,350,4999.99998,50.72761374155032,9243000000.000004,0.9938709677419357
351,351,5014.2857,51.233682956726035,9243000000.000004,0.9938709677419357
352,352,5028.57142,51.69124562414022,9244000000.000004,0.9939784946236562
353,353,5042.85712,52.12134279346548,9244000000.000004,0.9939784946236562
354,354,5057.14285,52.573299860841246,9243000000.000004,0.9938709677419357
355,355,5071.42857,53.050165231271194,9244000000.000004,0.9939784946236562
356,356,5085.71427,53.475646488211495,9244000000.000004,0.9939784946236562
357,357,5099.99999,53.96189231203,9244000000.000004,0.9939784946236562
358,358,5114.28571,54.45715856191048,9243000000.000004,0.9938709677419357
359,359,5128.57141,54.950205331028535,9244000000.000004,0.9939784946236562
360,360,5142.85713,55.44513587054449,9244000000.000004,0.9939784946236562
361,361,5157.14286,55.97261186364551,9245000000.000004,0.9940860215053765
362,362,5171.42856,56.510000099972984,9247000000.000004,0.9943010752688174
363,363,5185.71428,57.00477176574871,9247000000.000004,0.9943010752688174
364,364,5199.99998,57.51826851895675,9247000000.000004,0.9943010752688174
365,365,5214.2857,58.043676997751795,9247000000.000004,0.9943010752688174
366,366,5228.57142,58.56211450669607,9248000000.000004,0.9944086021505378
367,367,5242.85712,59.00593575186872,9248000000.000004,0.9944086021505378
368,368,5257.14285,59.403822320158454,9248000000.000004,0.9944086021505378
369,369,5271.42857,59.790301642408664,9247000000.000004,0.9943010752688174
370,370,5285.71427,60.192440915698356,9247000000.000004,0.9943010752688174
371,371,5299.99999,60.42887909963725,9247000000.000004,0.9943010752688174
372,372,5314.28571,60.65344492316726,9250000000.000002,0.9946236559139785
373,373,5328.57141,60.83270180875128,9250000000.000002,0.9946236559139785
374,374,5342.85714,60.87934378962093,9251000000.000002,0.9947311827956989
375,375,5357.14284,61.00724201932221,9251000000.000002,0.9947311827956989
376,376,5371.42856,61.051350064179026,9252000000.000002,0.9948387096774194
377,377,5385.71428,61.09035536785199,9252000000.000002,0.9948387096774194
378,378,5399.99998,61.0951247665345,9251000000.000002,0.9947311827956989
379,379,5414.2857,61.15865497587694,9251000000.000002,0.9947311827956989
380,380,5428.57142,61.16603263943493,9251000000.000002,0.9947311827956989
381,381,5442.85712,61.163407737997765,9250000000.000002,0.9946236559139785
382,382,5457.14285,61.095252627788575,9249000000.000002,0.9945161290322581
383,383,5471.42857,60.993475660399284,9247000000.000004,0.9943010752688174
384,384,5485.71427,60.97144464084697,9245000000.000004,0.9940860215053765
385,385,5499.99999,60.77443579095121,9241000000.000002,0.9936559139784946
386,386,5514.28571,60.60916754782329,9241000000.000002,0.9936559139784946
387,387,5528.57141,60.46295339569713,9230000000.000002,0.9924731182795699
388,388,5542.85714,60.31074291361391,9225000000.000004,0.991935483870968
389,389,5557.14284,60.16284962480112,9222000000.000004,0.9916129032258066
390,390,5571.42856,59.93095511533994,9217000000.000004,0.9910752688172045
391,391,5585.71428,59.6858659751868,9211000000.000002,0.9904301075268818
392,392,5599.99998,59.4484793079289,9207000000.000004,0.9900000000000002
393,393,5614.2857,58.97743448836177,9203000000.000004,0.9895698924731184
394,394,5628.57143,58.681192499954875,9199000000.000002,0.9891397849462366
395,395,5642.85713,58.36545021446394,9196000000.000004,0.9888172043010754
396,396,5657.14285,58.00864633612976,9193000000.000004,0.9884946236559142
397,397,5671.42857,57.640859593862615,9191000000.000002,0.9882795698924731
398,398,5685.71427,57.214331519537545,9186000000.000004,0.9877419354838711
399,399,5699.99999,56.741082382364134,9177000000.000004,0.9867741935483874
400,400,5714.28569,56.298293483305336,9170000000.000002,0.9860215053763441
401,401,5728.57141,55.81301077184782,9165000000.000004,0.9854838709677421
402,402,5742.85714,55.42471237609684,9155000000.000004,0.9844086021505378
403,403,5757.14284,54.87375144501288,9150000000.000002,0.9838709677419355
404,404,5771.42856,54.33293065283856,9138000000.000002,0.9825806451612903
405,405,5785.71428,53.64461311684301,9121000000.000002,0.980752688172043
406,406,5799.99998,52.95164585439173,9115000000.000004,0.9801075268817206
407,407,5814.2857,52.2722526475273,9105000000.000004,0.9790322580645163
408,408,5828.57143,51.49983043032001,9090000000.000002,0.9774193548387097
409,409,5842.85713,50.67441053559889,9071000000.000002,0.9753763440860215
410,410,5857.14285,49.74170852934972,9058000000.000002,0.9739784946236559
411,411,5871.42857,48.915326230111596,9052000000.000002,0.9733333333333334
412,412,5885.71427,48.215981564131766,9045000000.000004,0.9725806451612905
413,413,5899.99999,47.59230743833525,9035000000.000004,0.9715053763440862
414,414,5914.28569,47.073584479661086,9028000000.000002,0.970752688172043
415,415,5928.57142,46.627414567643996,9025000000.000004,0.970430107526882
416,416,5942.85714,46.22623626067594,9022000000.000004,0.9701075268817206
417,417,5957.14284,45.872278659932434,9008000000.000002,0.9686021505376344
418,418,5971.42856,45.55528405057675,9004000000.000004,0.9681720430107529
419,419,5985.71428,45.252240717649975,8998000000.000002,0.9675268817204301
420,420,5999.99998,44.99376491244919,8992000000.000002,0.9668817204301076
421,421,6014.2857,44.81180228950444,8990000000.000002,0.9666666666666667
422,422,6028.57143,44.57528922966228,8986000000.000004,0.9662365591397851
423,423,6042.85713,44.33698508306676,8982000000.000004,0.9658064516129035
424,424,6057.14285,44.156685032733435,8979000000.000002,0.9654838709677419
425,425,6071.42855,43.98051480895243,8976000000.000004,0.9651612903225809
426,426,6085.71427,43.837772410273566,8973000000.000004,0.9648387096774196
427,427,6099.99999,43.659580005140825,8972000000.000002,0.9647311827956989
428,428,6114.28569,43.47134662493386,8970000000.000002,0.964516129032258
429,429,6128.57142,43.25315302706513,8969000000.000002,0.9644086021505377
430,430,6142.85714,43.03402463649686,8965000000.000004,0.9639784946236561
